Species,Replicate,Dose,Time_h,RawOD
KT2440,1,90,0,0.087116836
KT2440,1,70,0,0.064009627
KT2440,1,50,0,0.07171203
KT2440,1,25,0,0.056307224
KT2440,1,20,0,0.040319385
KT2440,1,15,0,0.022399658
KT2440,1,10,0,0.029348812
KT2440,1,5,0,0.033200014
KT2440,1,2,0,0.025497611
KT2440,1,1,0,0.029348812
KT2440,1,0,0,0.029348812
KT2440,2,90,0,0.079414433
KT2440,2,70,0,0.056307224
KT2440,2,50,0,0.056307224
KT2440,2,25,0,0.04860482
KT2440,2,20,0,0.035839453
KT2440,2,15,0,0.017919727
KT2440,2,10,0,0.029348812
KT2440,2,5,0,0.033200014
KT2440,2,2,0,0.025497611
KT2440,2,1,0,0.029348812
KT2440,2,0,0,0.025497611
KT2440,3,90,0,0.090968038
KT2440,3,70,0,0.064009627
KT2440,3,50,0,0.060158425
KT2440,3,25,0,0.056307224
KT2440,3,20,0,0.040319385
KT2440,3,15,0,0.017919727
KT2440,3,10,0,0.029348812
KT2440,3,5,0,0.029348812
KT2440,3,2,0,0.029348812
KT2440,3,1,0,0.029348812
KT2440,3,0,0,0.029348812
KT2440,1,90,0.25,0.086718436
KT2440,1,70,0.25,0.067462428
KT2440,1,50,0.25,0.075164831
KT2440,1,25,0.25,0.055908823
KT2440,1,20,0.25,0.040319385
KT2440,1,15,0.25,0.044799317
KT2440,1,10,0.25,0.032801614
KT2440,1,5,0.25,0.02509921
KT2440,1,2,0.25,0.02509921
KT2440,1,1,0.25,0.032801614
KT2440,1,0,0.25,0.028950412
KT2440,2,90,0.25,0.079016033
KT2440,2,70,0.25,0.055908823
KT2440,2,50,0.25,0.055908823
KT2440,2,25,0.25,0.044355219
KT2440,2,20,0.25,0.040319385
KT2440,2,15,0.25,0.040319385
KT2440,2,10,0.25,0.02509921
KT2440,2,5,0.25,0.028950412
KT2440,2,2,0.25,0.021248009
KT2440,2,1,0.25,0.02509921
KT2440,2,0,0.25,0.02509921
KT2440,3,90,0.25,0.090569638
KT2440,3,70,0.25,0.067462428
KT2440,3,50,0.25,0.063611227
KT2440,3,25,0.25,0.055908823
KT2440,3,20,0.25,0.044799317
KT2440,3,15,0.25,0.044799317
KT2440,3,10,0.25,0.028950412
KT2440,3,5,0.25,0.028950412
KT2440,3,2,0.25,0.02509921
KT2440,3,1,0.25,0.02509921
KT2440,3,0,0.25,0.021248009
KT2440,1,90,0.5,0.082867235
KT2440,1,70,0.5,0.067462428
KT2440,1,50,0.5,0.07131363
KT2440,1,25,0.5,0.055908823
KT2440,1,20,0.5,0.040319385
KT2440,1,15,0.5,0.040319385
KT2440,1,10,0.5,0.032801614
KT2440,1,5,0.5,0.032801614
KT2440,1,2,0.5,0.021248009
KT2440,1,1,0.5,0.036652815
KT2440,1,0,0.5,0.036652815
KT2440,2,90,0.5,0.079016033
KT2440,2,70,0.5,0.052057622
KT2440,2,50,0.5,0.055908823
KT2440,2,25,0.5,0.044355219
KT2440,2,20,0.5,0.040319385
KT2440,2,15,0.5,0.040319385
KT2440,2,10,0.5,0.02509921
KT2440,2,5,0.5,0.028950412
KT2440,2,2,0.5,0.021248009
KT2440,2,1,0.5,0.028950412
KT2440,2,0,0.5,0.02509921
KT2440,3,90,0.5,0.090569638
KT2440,3,70,0.5,0.067462428
KT2440,3,50,0.5,0.063611227
KT2440,3,25,0.5,0.055908823
KT2440,3,20,0.5,0.044799317
KT2440,3,15,0.5,0.044799317
KT2440,3,10,0.5,0.028950412
KT2440,3,5,0.5,0.032801614
KT2440,3,2,0.5,0.02509921
KT2440,3,1,0.5,0.02509921
KT2440,3,0,0.5,0.021248009
KT2440,1,90,0.75,0.082734435
KT2440,1,70,0.75,0.063478427
KT2440,1,50,0.75,0.07118083
KT2440,1,25,0.75,0.055776023
KT2440,1,20,0.75,0.044799317
KT2440,1,15,0.75,0.040319385
KT2440,1,10,0.75,0.051924822
KT2440,1,5,0.75,0.04807362
KT2440,1,2,0.75,0.032668814
KT2440,1,1,0.75,0.040371217
KT2440,1,0,0.75,0.04807362
KT2440,2,90,0.75,0.078883233
KT2440,2,70,0.75,0.055776023
KT2440,2,50,0.75,0.055776023
KT2440,2,25,0.75,0.044222418
KT2440,2,20,0.75,0.044799317
KT2440,2,15,0.75,0.035839453
KT2440,2,10,0.75,0.051924822
