Time,Plate,Well,Raw_od,hour,Well_id,Plt_well,Well_row,Well_column,Condition,Ratio,XMIC,MIC ug/ml,Raw_od_min,OD,Plt_Cond_Ratio_Time,mean_OD_zero,Fit
0:00:34,1,A1,0.205,0.00944,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 0:00:34,0.03,1
0:59:29,1,A1,0.2,0.99139,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 0:59:29,0.03,1
1:59:31,1,A1,0.2,1.99194,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 1:59:31,0.03,1
2:59:31,1,A1,0.2,2.99194,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 2:59:31,0.03,1
3:59:33,1,A1,0.202,3.9925,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 3:59:33,0.067333333,0.445544554
4:59:33,1,A1,0.205,4.9925,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 4:59:33,0.153333333,0.195652174
5:59:34,1,A1,0.21,5.99278,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 5:59:34,0.168,0.178571429
6:59:35,1,A1,0.216,6.99306,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 6:59:35,0.17,0.176470588
7:59:36,1,A1,0.226,7.99333,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.03,1 - SF - 20 - 7:59:36,0.171,0.175438596
8:59:37,1,A1,0.236,8.99361,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.036,1 - SF - 20 - 8:59:37,0.171,0.210526316
9:59:38,1,A1,0.25,9.99389,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.05,1 - SF - 20 - 9:59:38,0.17,0.294117647
10:59:39,1,A1,0.26,10.99417,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.06,1 - SF - 20 - 10:59:39,0.169,0.355029586
11:59:40,1,A1,0.27,11.99444,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.07,1 - SF - 20 - 11:59:40,0.167666667,0.41749503
12:59:41,1,A1,0.266,12.99472,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.066,1 - SF - 20 - 12:59:41,0.165333333,0.399193548
13:59:42,1,A1,0.266,13.995,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.066,1 - SF - 20 - 13:59:42,0.163333333,0.404081633
14:59:43,1,A1,0.265,14.99528,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.065,1 - SF - 20 - 14:59:43,0.162,0.401234568
15:59:44,1,A1,0.264,15.99556,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.064,1 - SF - 20 - 15:59:44,0.161333333,0.396694215
16:59:45,1,A1,0.263,16.99583,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.063,1 - SF - 20 - 16:59:45,0.16,0.39375
17:59:44,1,A1,0.262,17.99556,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.062,1 - SF - 20 - 17:59:44,0.16,0.3875
18:59:45,1,A1,0.262,18.99583,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.062,1 - SF - 20 - 18:59:45,0.159333333,0.389121339
19:59:47,1,A1,0.26,19.99639,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.06,1 - SF - 20 - 19:59:47,0.158333333,0.378947368
20:59:47,1,A1,0.261,20.99639,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.061,1 - SF - 20 - 20:59:47,0.158666667,0.384453782
21:59:49,1,A1,0.258,21.99694,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 21:59:49,0.159333333,0.364016736
22:59:50,1,A1,0.258,22.99722,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 22:59:50,0.159666667,0.363256785
23:59:51,1,A1,0.258,23.9975,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 23:59:51,0.157333333,0.368644068
24:59:51,1,A1,0.257,24.9975,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.057,1 - SF - 20 - 24:59:51,0.158333333,0.36
25:59:52,1,A1,0.258,25.99778,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 25:59:52,0.158333333,0.366315789
26:59:54,1,A1,0.258,26.99833,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 26:59:54,0.158,0.367088608
27:59:54,1,A1,0.258,27.99833,SPL1,1 - SPL1,A,1,SF,20,128,29.19296,0.2,0.058,1 - SF - 20 - 27:59:54,0.158,0.367088608
